Index,PcEcPc,liEcPc,temperature,cond_mean,cond_min,cond_max,nearest_PcEcPc,nearest_liEcPc,nearest_liEcPc_min,nearest_liEcPc_max,nearest_conductivity,nearest_conductivity_min,nearest_conductivity_max,exact_prediction
67,0.336842455,0.272217056,-10,0.003474727,0.003278814,0.003823271,0.337496564,0.271268057,0.261175906,0.281360208,0.003339754,0.003305092,0.003371774,0.003343024
68,0.33722314,0.301752066,-10,0.003444256,0.003375,0.003555738,0.337496564,0.30154451,0.291452359,0.31163666,0.003428071,0.003401197,0.00345244,0.003428669
69,0.344755564,0.29358397,-10,0.003394998,0.003242202,0.003490467,0.346652016,0.291452359,0.281360208,0.30154451,0.003398823,0.003369521,0.003425577,0.003405194
70,0.346060962,0.284250375,-10,0.003354617,0.003235336,0.00353917,0.346652016,0.281360208,0.271268057,0.291452359,0.003369521,0.003337623,0.003398823,0.003378328
71,0.346792576,0.287756431,-10,0.003507101,0.003373197,0.003715132,0.355807467,0.291452359,0.281360208,0.30154451,0.003396304,0.003367119,0.003422941,0.003388353
72,0.098316619,0.87224212,0,0.003440502,0.002767113,0.003740266,0.099454816,0.876797108,0.866704957,0.886889259,0.003450779,0.00349553,0.003404427,0.003467516
73,0.098369507,0.301443329,0,0.004552996,0.004417007,0.004731765,0.099454816,0.30154451,0.291452359,0.31163666,0.004489248,0.004452848,0.004520569,0.00448554
74,0.098514549,0.252490738,0,0.004298291,0.004203108,0.004418209,0.099454816,0.251083755,0.240991604,0.261175906,0.004249589,0.004182556,0.004309765,0.004254691
75,0.098538967,0.786373263,0,0.004087143,0.003890445,0.004234391,0.099454816,0.785967751,0.7758756,0.796059901,0.00380664,0.003840653,0.00377167,0.003803978
76,0.098742297,0.274568453,0,0.004490096,0.004382631,0.00467169,0.099454816,0.271268057,0.261175906,0.281360208,0.004363458,0.004309765,0.004411033,0.004377144
77,0.098742364,0.85447359,0,0.004140065,0.003563954,0.004560773,0.099454816,0.856612807,0.846520656,0.866704957,0.003538789,0.003580652,0.00349553,0.003545829
78,0.098753423,0.797269059,0,0.004111864,0.003706639,0.004350218,0.099454816,0.796059901,0.785967751,0.806152052,0.00377167,0.00380664,0.003735693,0.003766316
79,0.098821919,0.282487301,0,0.004539764,0.004293727,0.005244152,0.099454816,0.281360208,0.271268057,0.291452359,0.004411033,0.004363458,0.004452848,0.004413822
80,0.098973291,0.290565767,0,0.004421684,0.004323122,0.004500297,0.099454816,0.291452359,0.281360208,0.30154451,0.004452848,0.004411033,0.004489248,0.004447818
81,0.09923281,0.865168137,0,0.004371204,0.003093049,0.004981808,0.099454816,0.866704957,0.856612807,0.876797108,0.00349553,0.003538789,0.003450779,0.003501546
82,0.10005633,0.797563723,0,0.004428458,0.004121861,0.004784161,0.108610268,0.796059901,0.785967751,0.806152052,0.003784559,0.003818143,0.003750076,0.003767306
83,0.10013993,0.823472427,0,0.004372015,0.003954308,0.004585248,0.099454816,0.826336354,0.816244203,0.836428505,0.003660517,0.003698661,0.003621203,0.003672841
84,0.100944341,0.83212906,0,0.004227108,0.003679953,0.004677854,0.099454816,0.836428505,0.826336354,0.846520656,0.003621203,0.003660517,0.003580652,0.003641348
85,0.109512134,0.292150801,0,0.004378846,0.004175757,0.004486116,0.108610268,0.291452359,0.281360208,0.30154451,0.004481885,0.004441589,0.004516781,0.004487234
